001	Andy Warhol screen print	andy-warhol-screen-print	Pop art and graphic movements	Repeated portraits, misregistered ink, fluorescent color blocks, visible silkscreen grain.
002	Roy Lichtenstein comic pop	roy-lichtenstein-comic-pop	Pop art and graphic movements	Ben-Day dots, thick black contours, primary colors, dramatic comic captions.
003	Keith Haring subway mural	keith-haring-subway-mural	Pop art and graphic movements	Bold simplified figures, black rhythmic outlines, radiant action marks, flat color.
004	Jean-Michel Basquiat neo-expressionism	jean-michel-basquiat-neo-expressionism	Pop art and graphic movements	Crude crowns, anatomy fragments, scratched words, frantic oil-stick marks.
005	Patrick Nagel 1980s illustration	patrick-nagel-1980s-illustration	Pop art and graphic movements	Pale geometric faces, jet-black shapes, sharp shadows, limited fashion palette.
006	Memphis Milano	memphis-milano	Pop art and graphic movements	Squiggles, terrazzo patterns, clashing pastels, playful postmodern geometry.
007	Yellow Submarine psychedelia	yellow-submarine-psychedelia	Pop art and graphic movements	Surreal botanical forms, flat rainbow color, decorative curves, dream logic.
008	1970s blacklight poster	1970s-blacklight-poster	Pop art and graphic movements	Fluorescent ink, deep black field, glowing outlines, psychedelic smoke and stars.
009	Lisa Frank school-supply fantasy	lisa-frank-school-supply-fantasy	Pop art and graphic movements	Rainbow gradients, cute animals, hearts, stars, sparkles, saturated neon.
010	Political stencil street art	political-stencil-street-art	Pop art and graphic movements	Hard-edged monochrome stencils, spray texture, one red accent, ironic symbolism.
011	EC Comics horror cover	ec-comics-horror-cover	Comics, pulp, and print	Grotesque expressions, lurid inks, hand-painted shadows, shocking pulp composition.
012	Creepshow comic panels	creepshow-comic-panels	Comics, pulp, and print	Sickly greens, graveyard lighting, hand-lettered narration, theatrical horror.
013	MAD magazine caricature	mad-magazine-caricature	Comics, pulp, and print	Exaggerated facial anatomy, painted satire, crowded sight gags.
014	Underground comix	underground-comix	Comics, pulp, and print	Dense crosshatching, rubbery bodies, counterculture grime, hand-drawn lettering.
015	Bronze Age superhero comic	bronze-age-superhero-comic	Comics, pulp, and print	Muscular anatomy, dynamic foreshortening, flat inks, explosive action lines.
016	1990s extreme superhero comic	1990s-extreme-superhero-comic	Comics, pulp, and print	Huge muscles, tiny waists, pouches, metallic weapons, aggressive crosshatching.
017	Frank Miller crime noir	frank-miller-crime-noir	Comics, pulp, and print	Black-and-white silhouettes, hard shadows, selective red, rain-soaked crime atmosphere.
018	Hellboy-style occult pulp	hellboy-style-occult-pulp	Comics, pulp, and print	Blocky shapes, heavy black masses, muted red, folklore artifacts.
019	Archie-style teen comic	archie-style-teen-comic	Comics, pulp, and print	Clean outlines, wholesome expressions, flat colors, suburban high-school staging.
020	Sunday newspaper comic strip	sunday-newspaper-comic-strip	Comics, pulp, and print	Economical linework, flat watercolor color, simple props, expressive poses.
021	The Simpsons television cartoon	the-simpsons-television-cartoon	Western animation	Yellow skin language, overbite profiles, round eyes, flat television-animation color.
022	South Park paper cutout	south-park-paper-cutout	Western animation	Stacked geometric bodies, construction-paper texture, frontal poses, crude mouths.
023	Ren and Stimpy gross-up	ren-and-stimpy-gross-up	Western animation	Elastic bodies, manic expressions, grotesque close-ups, painterly backgrounds.
024	Beavis and Butt-Head	beavis-and-butt-head	Western animation	Scratchy outlines, hunched anatomy, awkward facial proportions, muted colors.
025	Powerpuff Girls	powerpuff-girls	Western animation	Oversized eyes, tiny limbs, thick contours, candy colors, graphic action shapes.
026	Dexter's Laboratory retro-future	dexters-laboratory-retro-future	Western animation	Angular bodies, thick outlines, mid-century machinery, orange-blue palette.
027	SpongeBob nautical absurdism	spongebob-nautical-absurdism	Western animation	Wobbly outlines, tropical colors, painted undersea backgrounds, surreal reactions.
028	Adventure Time	adventure-time	Western animation	Rounded noodle limbs, tiny dot eyes, clean flat color, whimsical fantasy terrain.
029	Rick and Morty sci-fi grotesque	rick-and-morty-sci-fi-grotesque	Western animation	Uneven pupils, unstable mouths, acidic color, strange alien machinery.
030	Bluey storybook animation	bluey-storybook-animation	Western animation	Rounded geometric animals, soft colors, warm domestic environments.
031	Akira cyberpunk anime	akira-cyberpunk-anime	Anime and manga	Detailed machinery, red-black palette, cinematic city lighting, psychic destruction.
032	Dragon Ball Z battle anime	dragon-ball-z-battle-anime	Anime and manga	Spiked silhouettes, energy auras, speed lines, explosive muscle tension.
033	Sailor Moon magical girl	sailor-moon-magical-girl	Anime and manga	Long elegant limbs, sparkling transformation effects, celestial pastels.
034	Pokemon anime	pokemon-anime	Anime and manga	Rounded mascot anatomy, clean cel shading, bright nature, energetic poses.
